course_id,subject,course_number,prereq_subject,prereq_number
118364,PHYSICS,112,PHYSICS,7C
118373,PHYSICS,137A,PHYSICS,5A
118373,PHYSICS,137A,PHYSICS,5B
118373,PHYSICS,137A,PHYSICS,5C
118373,PHYSICS,137A,PHYSICS,7A
118373,PHYSICS,137A,PHYSICS,7B
118373,PHYSICS,137A,PHYSICS,7C
118374,PHYSICS,137B,PHYSICS,7A
118374,PHYSICS,137B,PHYSICS,7B
118374,PHYSICS,137B,PHYSICS,7C
118374,PHYSICS,137B,PHYSICS,137A
125429,PHYSICS,5A,MATH,51
125429,PHYSICS,5A,MATH,52
125430,PHYSICS,5B,PHYSICS,5A
125430,PHYSICS,5B,PHYSICS,7A
125430,PHYSICS,5B,MATH,53
125431,PHYSICS,5BL,PHYSICS,5A
125431,PHYSICS,5BL,PHYSICS,7A
125431,PHYSICS,5BL,PHYSICS,5B
125431,PHYSICS,5BL,PHYSICS,7B
125432,PHYSICS,5C,PHYSICS,5B
125432,PHYSICS,5C,PHYSICS,7B
125432,PHYSICS,5C,PHYSICS,89
125432,PHYSICS,5C,MATH,54
125432,PHYSICS,5C,MATH,7B
125433,PHYSICS,5CL,PHYSICS,5B
125433,PHYSICS,5CL,PHYSICS,5BL
125433,PHYSICS,5CL,PHYSICS,7B
125433,PHYSICS,5CL,PHYSICS,5C
125433,PHYSICS,5CL,PHYSICS,7C
118494,PHYSICS,77,MATH,51
118494,PHYSICS,77,PHYSICS,5A
118494,PHYSICS,77,PHYSICS,7A
118491,PHYSICS,7A,MATH,51
118491,PHYSICS,7A,MATH,52
118492,PHYSICS,7B,MATH,51
118492,PHYSICS,7B,MATH,52
118492,PHYSICS,7B,MATH,53
118493,PHYSICS,7C,MATH,51
118493,PHYSICS,7C,MATH,52
118493,PHYSICS,7C,MATH,53
118493,PHYSICS,7C,MATH,54
118493,PHYSICS,7C,PHYSICS,89
118493,PHYSICS,7C,PHYSICS,7A
118493,PHYSICS,7C,PHYSICS,7B
156204,PHYSICS,88,MATH,51
156204,PHYSICS,88,MATH,52
156204,PHYSICS,88,PHYSICS,5A
156204,PHYSICS,88,PHYSICS,7A
118499,PHYSICS,89,MATH,53
118499,PHYSICS,89,PHYSICS,5A
118499,PHYSICS,89,PHYSICS,7A
118618,PLANTBI,135,BIOLOGY,1A
118618,PLANTBI,135,BIOLOGY,1B
124036,PLANTBI,C103,BIOLOGY,1A
124036,PLANTBI,C103,CHEM,3B
118835,POLECON,101,POLECON,100
154681,POLECON,107,ECON,1
164846,POLSCI,132C,DATA,8
161325,POLSCI,88,DATA,8
119569,PSYCH,101,PSYCH,1
119570,PSYCH,102,PSYCH,101
158235,PSYCH,115,PSYCH,C127
119608,PSYCH,125,PSYCH,110
119608,PSYCH,125,PSYCH,117
119608,PSYCH,125,COGSCI,C127
119627,PSYCH,130,PSYCH,1
119627,PSYCH,130,PSYCH,2
119628,PSYCH,131,PSYCH,130
119632,PSYCH,134,PSYCH,1
119632,PSYCH,134,PSYCH,2
119632,PSYCH,134,PSYCH,C19
119639,PSYCH,140,PSYCH,1
119659,PSYCH,150,PSYCH,1
119659,PSYCH,150,PSYCH,101
119669,PSYCH,160,PSYCH,1
120392,RUSSIAN,103A,RUSSIAN,4
120401,RUSSIAN,2,RUSSIAN,1
120405,RUSSIAN,3,RUSSIAN,2
120703,SCANDIN,100A,DANISH,1B
120703,SCANDIN,100A,FINNISH,1B
120703,SCANDIN,100A,SWEDISH,1B
120969,SLAVIC,171,BOSCRSR,117B
162643,SOCIOL,119L,SOCIOL,1
162643,SOCIOL,119L,SOCIOL,3AC
156078,SOCIOL,149,SOCIOL,1
156078,SOCIOL,149,SOCIOL,3
156078,SOCIOL,149,SOCIOL,3AC
156078,SOCIOL,149,SOCIOL,140
161283,SOCIOL,149P,SOCIOL,1
161283,SOCIOL,149P,SOCIOL,3
161283,SOCIOL,149P,SOCIOL,3AC
121700,SPANISH,100,SPANISH,4
121705,SPANISH,104A,SPANISH,25
121708,SPANISH,107B,SPANISH,25
121734,SPANISH,135,SPANISH,25
121747,SPANISH,161,SPANISH,100
121749,SPANISH,163,SPANISH,100
121759,SPANISH,179,SPANISH,100
121803,SPANISH,25,SPANISH,4
